SKU,HTS,Customs Description
6000000046,3305900000,Hair Care
6000000047,3305900000,Hair Care
6000000048,3305100000,Hair Care
6000000049,3305900000,Hair Care
6000000050,3305900000,Hair Care
6000000051,3305100000,Hair Care
6000000052,3305100000,Hair Care
6000000053,3305900000,Hair Care
6000000056,3304990000,Skin Care
6000000057,3304990000,Skin Care
6000000058,3401115000,Soap Products
6000000069,3305100000,Hair Care
6000000071,3305100000,Hair Care
6000000073,3305100000,Hair Care
6000000074,3305900000,Hair Care
6000000076,3305900000,Hair Care
6000000077,3305100000,Hair Care
6000000097,3305900000,Hair Care
6000000098,3305900000,Hair Care
6000000099,3305900000,Hair Care
6000000100,3305900000,Hair Care
6000000111,3305100000,Hair Care
6000000114,3305900000,Hair Care
6000000118,3305900000,Hair Care
6000000123,3305900000,Hair Care
6000000128,3305100000,Hair Care
6000000131,3305900000,Hair Care
6000000133,3305900000,Hair Care
6000000134,3305900000,Hair Care
6000000136,3307100000,Personal Toiletries
6000000137,3307100000,Personal Toiletries
6000000138,3305900000,Hair Care
6000000139,3305900000,Hair Care
6000000141,3305900000,Hair Care
6000000143,3305900000,Hair Care
6000000144,3305900000,Hair Care
6000000145,3305900000,Hair Care
6000000146,3305900000,Hair Care
6000000148,3305900000,Hair Care
6000000151,3305900000,Hair Care
6000000152,3305900000,Hair Care
6000000153,3305100000,Hair Care
6000000155,3305900000,Hair Care
6000000157,3305100000,Hair Care
6000000158,3305900000,Hair Care
6000000161,3305900000,Hair Care
6000000163,3305900000,Hair Care
6000000164,3305100000,Hair Care
6000000167,3305900000,Hair Care
6000000169,3305900000,Hair Care
6000000171,3305900000,Hair Care
6000000172,3305900000,Hair Care
6000000174,3305900000,Hair Care
6000000175,3305900000,Hair Care
6000000177,3305100000,Hair Care
6000000178,3305100000,Hair Care
6000000180,3305900000,Hair Care
6000000181,3305900000,Hair Care
6000000183,3305100000,Hair Care
6000000184,3305100000,Hair Care
6000000186,3305900000,Hair Care
6000000187,3305900000,Hair Care
6000000189,3305100000,Hair Care
6000000190,3305100000,Hair Care
6000000192,3305900000,Hair Care
6000000193,3305900000,Hair Care
6000000198,3305100000,Hair Care
6000000199,3305900000,Hair Care
6000000200,3305900000,Hair Care
6000000201,3305100000,Hair Care
6000000202,3305900000,Hair Care
6000000204,3305900000,Hair Care
6000000205,3305100000,Hair Care
6000000206,3305900000,Hair Care
6000000209,3305300000,Hair Care
6000000211,3305300000,Hair Care
6000000212,3305900000,Hair Care
6000000214,3305900000,Hair Care
6000000215,3305900000,Hair Care
6000000216,3305900000,Hair Care
6000000217,3305100000,Hair Care
6000000218,3305100000,Hair Care
6000000221,3305900000,Hair Care
6000000222,3305900000,Hair Care
6000000223,3305100000,Hair Care
6000000224,3305900000,Hair Care
6000000225,3305900000,Hair Care
6000000226,3305100000,Hair Care
6000000227,3305900000,Hair Care
6000000228,3305100000,Hair Care
6000000229,3305900000,Hair Care
6000000231,3305900000,Hair Care
6000000232,3305900000,Hair Care
6000000233,3305100000,Hair Care
6000000234,3305900000,Hair Care
6000000235,3305900000,Hair Care
6000000236,3305100000,Hair Care
6000000238,3305900000,Hair Care
6000000240,3305300000,Hair Care
6000000241,3305300000,Hair Care
6000000242,3305100000,Hair Care
6000000243,3305100000,Hair Care
6000000244,3305900000,Hair Care
6000000245,3305900000,Hair Care
6000000246,3305900000,Hair Care
6000000247,3305900000,Hair Care
6000000248,3305900000,Hair Care
6000000249,3305900000,Hair Care
6000000250,3305100000,Hair Care
6000000251,3305100000,Hair Care
6000000252,3305900000,Hair Care
6000000253,3305900000,Hair Care
